Round,Date,Venue,Team,Opponent,Score,OpponentScore,Possession,Shots,ShotsOnTarget,Saves,YellowCards,RedCards,Fouls,Corners,Crosses,Interceptions,Venue Role,Result
Group stage,2026-06-25,"SoFi Stadium, Inglewood",Türkiye,United States,3.0,2.0,48,9,3,5,0,0,13,2,11,8,Home,Win
Group stage,2026-06-25,"Levi's Stadium, Santa Clara",Paraguay,Australia,0.0,0.0,44,7,2,5,1,0,9,1,7,8,Home,Draw
Group stage,2026-06-26,"Gillette Stadium, Foxborough",Norway,France,1.0,4.0,43,10,4,5,1,0,9,4,9,13,Home,Loss
Group stage,2026-06-26,"BMO Field, Toronto",Senegal,Iraq,5.0,0.0,69,28,12,1,2,0,10,12,25,2,Home,Win
Group stage,2026-06-26,"Estadio Akron, Zapopan",Uruguay,Spain,0.0,1.0,33,5,1,0,3,1,14,1,16,14,Home,Loss
Group stage,2026-06-26,"Reliant Stadium, Houston",Cabo Verde,Saudi Arabia,0.0,0.0,51,15,2,3,1,0,10,4,18,13,Home,Draw
Group stage,2026-06-26,"Lumen Field, Seattle",Egypt,IR Iran,1.0,1.0,61,15,3,1,3,0,11,8,15,7,Home,Draw
Group stage,2026-06-26,"BC Place Stadium, Vancouver",New Zealand,Belgium,1.0,5.0,45,6,2,5,2,0,10,5,17,6,Home,Loss
Group stage,2026-06-27,"Lincoln Financial Field, Philadelphia",Croatia,Ghana,2.0,1.0,53,8,4,0,1,0,9,3,15,4,Home,Win
Group stage,2026-06-27,"MetLife Stadium, East Rutherford",Panama,England,0.0,2.0,33,13,2,4,2,0,16,3,9,6,Home,Loss
Group stage,2026-06-27,"Mercedes-Benz Stadium, Atlanta",Congo DR,Uzbekistan,3.0,1.0,58,19,4,1,3,0,6,2,21,7,Home,Win
Group stage,2026-06-27,"Hard Rock Stadium, Miami Gardens",Colombia,Portugal,0.0,0.0,55,24,6,2,1,0,12,5,10,5,Home,Draw
Group stage,2026-06-27,"AT&T Stadium, Arlington",Jordan,Argentina,1.0,3.0,27,5,1,1,3,0,13,2,7,19,Home,Loss
Group stage,2026-06-27,"GEHA Field at Arrowhead Stadium, Kansas City",Algeria,Austria,3.0,3.0,65,12,5,0,0,0,3,0,5,3,Home,Draw
Round of 32,2026-06-28,"SoFi Stadium, Inglewood",South Africa,Canada,0.0,1.0,58,6,1,5,0,0,10,1,8,16,Home,Loss
Round of 32,2026-06-29,"Reliant Stadium, Houston",Brazil,Japan,2.0,1.0,69,19,7,1,2,0,4,6,40,9,Home,Win
Round of 32,2026-06-29,"Gillette Stadium, Foxborough",Germany,Paraguay,,,75,21,6,2,3,0,18,16,56,4,Home,Draw
Round of 32,2026-06-29,"Estadio BBVA, Guadalupe",Netherlands,Morocco,,,30,6,2,5,0,0,18,5,10,11,Home,Draw
Round of 32,2026-06-30,"AT&T Stadium, Arlington",Côte d'Ivoire,Norway,1.0,2.0,47,14,5,1,0,0,6,14,29,4,Home,Loss
Round of 32,2026-06-30,"MetLife Stadium, East Rutherford",France,Sweden,3.0,0.0,61,25,12,3,0,0,14,9,16,5,Home,Win
Round of 32,2026-06-30,"Estadio Banorte, Coyoacán",Mexico,Ecuador,2.0,0.0,43,15,3,1,0,0,10,3,7,7,Home,Win
Round of 32,2026-07-01,"Mercedes-Benz Stadium, Atlanta",England,Congo DR,2.0,1.0,60,16,7,1,1,0,10,5,43,7,Home,Win
Round of 32,2026-07-01,"Lumen Field, Seattle",Belgium,Senegal,3.0,2.0,52,19,5,3,2,0,22,4,26,8,Home,Win
Round of 32,2026-07-01,"Levi's Stadium, Santa Clara",United States,Bosnia–Herz,2.0,0.0,48,8,2,3,0,1,7,4,14,8,Home,Win
Round of 32,2026-07-02,"SoFi Stadium, Inglewood",Spain,Austria,3.0,0.0,65,23,10,0,0,0,8,9,22,6,Home,Win
Round of 32,2026-07-02,"BMO Field, Toronto",Portugal,Croatia,2.0,1.0,61,15,3,5,1,0,6,9,20,5,Home,Win
Round of 32,2026-07-02,"BC Place Stadium, Vancouver",Switzerland,Algeria,2.0,0.0,45,11,5,2,0,0,10,4,14,17,Home,Win
Round of 32,2026-07-03,"AT&T Stadium, Arlington",Australia,Egypt,,,42,16,1,3,0,0,12,4,24,9,Home,Draw
Round of 32,2026-07-03,"Hard Rock Stadium, Miami Gardens",Argentina,Cabo Verde,3.0,2.0,64,22,10,3,1,0,13,8,15,9,Home,Win
Round of 32,2026-07-03,"GEHA Field at Arrowhead Stadium, Kansas City",Colombia,Ghana,1.0,0.0,61,20,8,0,2,0,14,3,15,5,Home,Win
Round of 16,2026-07-04,"Reliant Stadium, Houston",Canada,Morocco,0.0,3.0,45,10,3,1,4,0,24,11,29,5,Home,Loss
Round of 16,2026-07-04,"Lincoln Financial Field, Philadelphia",Paraguay,France,0.0,1.0,24,5,0,4,0,0,13,2,4,14,Home,Loss
Round of 16,2026-07-05,"MetLife Stadium, East Rutherford",Brazil,Norway,1.0,2.0,34,14,4,3,1,0,7,5,16,11,Home,Loss
Round of 16,2026-07-05,"Estadio Banorte, Coyoacán",Mexico,England,2.0,3.0,67,20,5,2,2,0,14,12,49,7,Home,Loss
Round of 16,2026-07-06,"AT&T Stadium, Arlington",Portugal,Spain,0.0,1.0,45,10,2,5,2,0,9,3,13,7,Home,Loss
Round of 16,2026-07-06,"Lumen Field, Seattle",United States,Belgium,1.0,4.0,56,7,2,3,2,0,11,3,11,9,Home,Loss
Round of 16,2026-07-07,"Mercedes-Benz Stadium, Atlanta",Argentina,Egypt,3.0,2.0,64,19,7,0,0,0,13,6,26,7,Home,Win
Round of 16,2026-07-07,"BC Place Stadium, Vancouver",Switzerland,Colombia,,,53,7,2,3,3,0,22,3,15,13,Home,Draw
Quarter-finals,2026-07-09,"Gillette Stadium, Foxborough",France,Morocco,2.0,0.0,48,22,8,1,0,0,10,5,12,11,Home,Win
Quarter-finals,2026-07-10,"SoFi Stadium, Inglewood",Spain,Belgium,2.0,1.0,68,17,8,1,2,0,13,5,19,4,Home,Win
Quarter-finals,2026-07-11,"Hard Rock Stadium, Miami Gardens",Norway,England,1.0,2.0,48,13,4,6,1,0,10,7,19,8,Home,Loss
Quarter-finals,2026-07-11,"GEHA Field at Arrowhead Stadium, Kansas City",Argentina,Switzerland,3.0,1.0,59,22,7,4,3,0,14,8,22,12,Home,Win
Group stage,2026-06-11,"Estadio Banorte, Coyoacán",South Africa,Mexico,0.0,2.0,40,3,2,2,2,2,11,1,8,7,Away,Loss
Group stage,2026-06-11,"Estadio Akron, Zapopan",Czechia,Korea Republic,1.0,2.0,38,7,4,4,0,0,16,5,15,7,Away,Loss
Group stage,2026-06-12,"BMO Field, Toronto",Bosnia–Herz,Canada,1.0,1.0,39,8,3,1,3,0,20,4,10,10,Away,Draw
Group stage,2026-06-12,"SoFi Stadium, Inglewood",Paraguay,United States,1.0,4.0,35,9,1,3,5,0,17,1,5,9,Away,Loss
Group stage,2026-06-13,"Levi's Stadium, Santa Clara",Switzerland,Qatar,1.0,1.0,68,26,7,3,1,0,11,10,35,7,Away,Draw
Group stage,2026-06-13,"MetLife Stadium, East Rutherford",Morocco,Brazil,1.0,1.0,49,14,3,4,0,0,14,2,15,4,Away,Draw
Group stage,2026-06-13,"BC Place Stadium, Vancouver",Türkiye,Australia,0.0,2.0,72,30,8,2,1,0,4,8,26,4,Away,Loss
Group stage,2026-06-13,"Gillette Stadium, Foxborough",Scotland,Haiti,1.0,0.0,46,9,2,2,3,0,21,3,14,6,Away,Win
Group stage,2026-06-14,"Reliant Stadium, Houston",Curaçao,Germany,1.0,7.0,35,8,2,4,0,0,11,1,7,16,Away,Loss
Group stage,2026-06-14,"AT&T Stadium, Arlington",Japan,Netherlands,2.0,2.0,40,10,3,4,0,0,7,4,23,4,Away,Draw
Group stage,2026-06-14,"Lincoln Financial Field, Philadelphia",Ecuador,Côte d'Ivoire,0.0,1.0,52,12,1,3,1,0,13,5,14,13,Away,Loss
Group stage,2026-06-14,"Estadio BBVA Bancomer, Guadalupe",Tunisia,Sweden,1.0,5.0,51,6,2,1,1,0,8,2,13,5,Away,Loss
Group stage,2026-06-15,"Lumen Field, Seattle",Egypt,Belgium,1.0,1.0,46,14,3,3,2,0,15,7,13,12,Away,Draw
Group stage,2026-06-15,"Mercedes-Benz Stadium, Atlanta",Cabo Verde,Spain,0.0,0.0,26,6,1,7,1,0,1,1,4,16,Away,Draw
Group stage,2026-06-15,"Hard Rock Stadium, Miami Gardens",Uruguay,Saudi Arabia,1.0,1.0,67,27,10,2,0,0,6,14,47,10,Away,Draw
Group stage,2026-06-15,"SoFi Stadium, Inglewood",New Zealand,IR Iran,2.0,2.0,52,14,8,2,0,0,8,1,12,13,Away,Draw
Group stage,2026-06-16,"MetLife Stadium, East Rutherford",Senegal,France,1.0,3.0,46,6,2,5,0,0,9,4,9,8,Away,Loss
Group stage,2026-06-16,"Gillette Stadium, Foxborough",Norway,Iraq,4.0,1.0,61,12,5,0,0,0,13,5,17,3,Away,Win
Group stage,2026-06-16,"GEHA Field at Arrowhead Stadium, Kansas City",Algeria,Argentina,0.0,3.0,52,7,0,3,0,0,8,2,8,8,Away,Loss
Group stage,2026-06-16,"Levi's Stadium, Santa Clara",Jordan,Austria,1.0,3.0,37,11,4,1,0,0,7,3,15,12,Away,Loss
Group stage,2026-06-17,"Reliant Stadium, Houston",Congo DR,Portugal,1.0,1.0,25,8,2,0,1,0,10,4,9,5,Away,Draw
Group stage,2026-06-17,"AT&T Stadium, Arlington",Croatia,England,2.0,4.0,48,10,5,7,0,0,12,2,13,7,Away,Loss
Group stage,2026-06-17,"BMO Field, Toronto",Panama,Ghana,0.0,1.0,62,11,4,2,2,0,11,2,21,5,Away,Loss
Group stage,2026-06-17,"Estadio Banorte, Coyoacán",Colombia,Uzbekistan,3.0,1.0,62,15,4,1,1,0,11,4,15,6,Away,Win
Group stage,2026-06-18,"Mercedes-Benz Stadium, Atlanta",South Africa,Czechia,1.0,1.0,62,17,4,2,2,0,10,5,17,9,Away,Draw
Group stage,2026-06-18,"SoFi Stadium, Inglewood",Bosnia–Herz,Switzerland,1.0,4.0,38,5,3,3,2,1,18,3,12,12,Away,Loss
Group stage,2026-06-18,"BC Place Stadium, Vancouver",Qatar,Canada,0.0,6.0,21,2,0,4,1,2,10,1,3,11,Away,Loss
Group stage,2026-06-18,"Estadio Akron, Zapopan",Korea Republic,Mexico,0.0,1.0,58,9,2,3,2,0,7,2,9,5,Away,Loss
Group stage,2026-06-19,"Lumen Field, Seattle",Australia,United States,0.0,2.0,38,5,2,1,4,0,16,4,19,7,Away,Loss
Group stage,2026-06-19,"Gillette Stadium, Foxborough",Morocco,Scotland,1.0,0.0,59,12,2,0,1,0,8,5,10,5,Away,Win
Group stage,2026-06-19,"Levi's Stadium, Santa Clara",Paraguay,Türkiye,1.0,0.0,22,7,2,5,1,1,15,0,6,9,Away,Win
Group stage,2026-06-19,"Lincoln Financial Field, Philadelphia",Haiti,Brazil,0.0,3.0,43,7,3,2,3,0,14,4,11,9,Away,Loss
Group stage,2026-06-20,"Reliant Stadium, Houston",Sweden,Netherlands,1.0,5.0,49,16,8,2,3,0,12,5,21,6,Away,Loss
Group stage,2026-06-20,"BMO Field, Toronto",Côte d'Ivoire,Germany,1.0,2.0,41,9,2,5,0,0,7,3,9,13,Away,Loss
Group stage,2026-06-20,"GEHA Field at Arrowhead Stadium, Kansas City",Curaçao,Ecuador,0.0,0.0,25,10,3,15,5,0,10,0,1,8,Away,Draw
Group stage,2026-06-20,"Estadio BBVA, Guadalupe",Japan,Tunisia,4.0,0.0,62,11,5,0,0,0,15,5,11,6,Away,Win
Group stage,2026-06-21,"Mercedes-Benz Stadium, Atlanta",Saudi Arabia,Spain,0.0,4.0,33,3,1,5,2,0,2,1,5,12,Away,Loss
Group stage,2026-06-21,"SoFi Stadium, Inglewood",IR Iran,Belgium,0.0,0.0,30,7,3,7,1,0,9,2,8,13,Away,Draw
Group stage,2026-06-21,"Hard Rock Stadium, Miami Gardens",Cabo Verde,Uruguay,2.0,2.0,35,12,4,0,2,0,4,4,7,13,Away,Draw
Group stage,2026-06-21,"BC Place Stadium, Vancouver",Egypt,New Zealand,3.0,1.0,56,19,7,4,1,0,8,3,22,7,Away,Win
Group stage,2026-06-22,"AT&T Stadium, Arlington",Austria,Argentina,0.0,2.0,46,6,1,2,2,0,13,3,16,9,Away,Loss
Group stage,2026-06-22,"Lincoln Financial Field, Philadelphia",Iraq,France,0.0,3.0,45,4,0,2,1,0,4,2,9,11,Away,Loss
Group stage,2026-06-22,"MetLife Stadium, East Rutherford",Senegal,Norway,2.0,3.0,58,16,4,3,0,0,5,4,23,10,Away,Loss
Group stage,2026-06-22,"Levi's Stadium, Santa Clara",Algeria,Jordan,2.0,1.0,72,17,8,3,1,0,6,10,21,10,Away,Win
